Evento 	Fecha 	Hora 	Lat 	Long 	Prof.					
(km) 	Int 	Mag 	Tipo Mag 	LocalizaciÛn 	info					
338793	11/07/2002	8:05:32	28.2023	-16.2423	-999		1.5	4	ATL¡NTICO-CANARIAS 	[+] info
339358	16/07/2002	22:48:35	28.0276	-16.1899	34		2.2	4	ATL¡NTICO-CANARIAS 	[+] info
339803	19/07/2002	11:01:33	28.0516	-16.1791	33		2.1	4	ATL¡NTICO-CANARIAS 	[+] info
340480	26/07/2002	0:40:40	28.1167	-16.1431	-999		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
340626	26/07/2002	23:43:52	28.1236	-16.1389	7		1.3	4	ATL¡NTICO-CANARIAS 	[+] info
340667	27/07/2002	14:50:44	28.0753	-16.8158	8		1.7	4	SW ADEJE.ITF 	[+] info
341180	01/08/2002	11:07:40	28.245	-16.316	-999		1	4	E FASNIA.ITF 	[+] info
341211	01/08/2002	17:44:14	28.0798	-16.2404	27		2	4	ATL¡NTICO-CANARIAS 	[+] info
341499	05/08/2002	0:45:10	28.2627	-16.3552	-999		1.1	4	SE G‹ÕMAR.ITF 	[+] info
342625	08/08/2002	20:07:15	28.3322	-16.462	-999		0.9	4	W ARAFO.ITF 	[+] info
343332	13/08/2002	15:53:50	28.5497	-16.6351	31	II-III 	2.7	4	ATL¡NTICO-CANARIAS 	[+] info
343667	16/08/2002	9:42:28	28.637	-15.656	-999		1.7	4	ATL¡NTICO-CANARIAS 	[+] info
343901	18/08/2002	21:06:42	28.1148	-16.2171	-999		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
344884	24/08/2002	20:21:04	28.1438	-16.2666	-999		1.2	4	ATL¡NTICO-CANARIAS 	[+] info
344971	25/08/2002	16:49:51	28.0574	-16.1462	3		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
345121	27/08/2002	0:13:08	28.239	-16.1956	-999		1.2	4	ATL¡NTICO-CANARIAS 	[+] info
346735	07/09/2002	19:16:35	28.1523	-16.2648	15		2	4	ATL¡NTICO-CANARIAS 	[+] info
347144	11/09/2002	9:14:35	28.0895	-16.1568	-999		1.5	4	ATL¡NTICO-CANARIAS 	[+] info
347561	13/09/2002	13:57:23	28.1468	-16.3484	30		1.9	4	E ARICO.ITF 	[+] info
348823	21/09/2002	10:46:13	28.0655	-16.1686	-999		1.8	4	ATL¡NTICO-CANARIAS 	[+] info
348826	21/09/2002	12:07:39	28.1389	-16.1624	-999		1.7	4	ATL¡NTICO-CANARIAS 	[+] info
348870	22/09/2002	8:19:06	28.1065	-16.1945	-999		1.1	4	ATL¡NTICO-CANARIAS 	[+] info
348939	23/09/2002	1:59:02	28.0888	-16.1611	-999		1	4	ATL¡NTICO-CANARIAS 	[+] info
350390	28/09/2002	20:50:59	28.1454	-16.2018	-999		1.4	4	ATL¡NTICO-CANARIAS 	[+] info
350752	04/10/2002	13:49:05	28.0367	-16.1813	21		2	4	ATL¡NTICO-CANARIAS 	[+] info
351287	08/10/2002	9:33:50	28.1049	-16.2146	17		1.7	4	ATL¡NTICO-CANARIAS 	[+] info
351511	09/10/2002	14:47:26	28.2291	-16.321	-999		1.9	4	E FASNIA.ITF 	[+] info
353546	25/10/2002	18:08:35	28.2135	-16.1098	-999		1.7	4	ATL¡NTICO-CANARIAS 	[+] info
353627	28/10/2002	19:19:41	28.1862	-16.1293	-999		2.2	4	ATL¡NTICO-CANARIAS 	[+] info
354234	01/11/2002	10:51:47	28.1075	-16.2044	7		2	4	ATL¡NTICO-CANARIAS 	[+] info
355700	08/11/2002	18:39:11	28.12	-16.1646	-999		1.8	4	ATL¡NTICO-CANARIAS 	[+] info
355838	10/11/2002	17:07:17	28.1298	-16.147	-999		1.8	4	ATL¡NTICO-CANARIAS 	[+] info
356645	16/11/2002	22:07:02	28.0626	-16.2357	-999		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
357508	24/11/2002	5:35:02	28.1551	-16.1485	-999		2.2	4	ATL¡NTICO-CANARIAS 	[+] info
359452	15/12/2002	0:41:23	28.0858	-16.2225	-999		1.7	4	ATL¡NTICO-CANARIAS 	[+] info
359685	18/12/2002	21:47:57	28.4951	-15.8897	-999		2	4	ATL¡NTICO-CANARIAS 	[+] info
359848	23/12/2002	3:51:20	28.7786	-16.167	-999		2.3	4	ATL¡NTICO-CANARIAS 	[+] info
361867	22/01/2003	18:37:13	28.0266	-16.1955	21		2.3	4	ATL¡NTICO-CANARIAS 	[+] info
361882	22/01/2003	19:13:30	28.1325	-16.1522	6		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
361993	24/01/2003	5:06:13	28.0886	-16.106	-999		1.4	4	ATL¡NTICO-CANARIAS 	[+] info
362491	31/01/2003	8:30:32	28.1304	-16.2142	26	II 	2.5	4	ATL¡NTICO-CANARIAS 	[+] info
